Район,"Название школы или иного учреждения, в котором может работать секция/кружок",Адрес учреждения,Виды спорта/направления деятельности секции,Минимальный возраст,Максимальный возраст,Пол,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Дополнительная информация
Адмиралтейский,Государственное бюджетное учреждение спортивная школа олимпийского резерва № 1 Адмиралтейского района Санкт-Петербурга,"г.Санкт-Петербург, Рижский проспект, дом 31, литера А",легкая атлетика; футбол; дзюдо; самбо; баскетбол; прыжки на батуте; гребной спорт,7.0,18.0,"мужской, женский",Директор Болов Вадим Викторович,+7(812)251-57-97,+7(812)251-57-97,sportchkola@mail.ru,,7826018029,1027810328259,
Адмиралтейский,"Государственное бюджетное  учреждение спортивная школа ""Дельфин"" Адмиралтейского района Санкт-Петербурга","г.Санкт-Петербург, улица Союза Печатников, дом 5, литера Б",плавание; тхэквондо; киокусинкай,7.0,18.0,"мужской, женский",Директор Томчук Николай Андреевич,+7(812)714-41-40,,delfinspb@bk.ru,,7826729079,1027810320119,
Невский,Государственное бюджетное учреждение спортивная школа олимпийского резерва №1 Невского района Санкт-Петербурга,"192029, Санкт-Петербург, улица Ольги Берггольц, дом 15, литера А","Легкая атлетика, каратэ, спорт глухих (легкая атлетика)",9,18,М/ж,Дрозд Егор Сергеевич,8(812)-241-30-60,8(812)-241-3060,Neva-la@mail.ru,Невская застава,7811067048,1037825021332,
Невский,Государственное бюджетное учреждение спортивная школа олимпийского резерва №2 Невского района Санкт-Петербурга,"193231, Санкт-Петербург,  улица Подвойского, дом 31, корпус 3, литера И","Баскетбол, биатлон, волейбол, дзюдо, лыжные гонки, мини-футбол, самбо, спортивная аэробика, теннис, футбол, хоккей",6,18,М/ж,Купершмит Андрей Александрович,8(812)-319-55-48,8(812)-319-55-48,Nevasport-2@yandex.ru,Оккервиль,7811067633,1037825015139,
Невский,Государственное бюджетное учреждение спортивная школа олимпийского резерва по плаванию №3 «Невская» Невского района Санкт-Петербурга,"192174, Санкт-Петербург, улица Леснозаводская, дом 3, литера А",Плавание,7,18,М/ж,Огородников Сергей Борисович,8(812)-367-05-20,8(812)-367-71-73,Sdyushor3@mail.ru,Ивановский,7811067023,1147847292185,
Невский,"Санкт-Петербургское государственное бюджетное учреждение ""Центр физической культуры, спорта и здоровья Невского района Санкт-Петербурга""","192171, Санкт-Петербург, Железнодорожный проспект, дом 32, литера А","Волейбол, мини-футбол (футзал), фитнес-аэробика, регби, скандинавская ходьба., АФК (мини-футбол), АФК (флорбол).",3,80,М/ж,Тучков Дмитрий Владимирович,8(812)-329-05-20,8(812)-329-0517,Mail@cfknr.ru,Ивановский,7811588192,1147847292185,
Невский,"Санкт-Петербургское государственное бюджетное учреждение ""Центр Физической Культуры, Спорта и Здоровья Невского района Санкт-Петербурга""","192171, Санкт-Петербург, улица Бабушкина, дом 30, строение1","Хоккей, фигурное катание, новус, акробатический рок-н-ролл, АФК (ОФП).",3,80,М/ж,Тучков Дмитрий Владимирович,8(812)-495-49-36,8(812)-495-49-36,Mail@cfknr.ru,Ивановский,7811588192,1147847292185,
Московский,Государственное бюджетное учреждение спортивная школа олимпийского резерва №1 Московского района Санкт-Петербурга,"Санкт-Петербург, улица Ленсовета, д. 8","Гандбол, волейбол, хоккей, футбол, фигурное катание, пауэрлифтинг ПОДА",5,18,М/Ж,Бурцев Александр Васильевич,"8(812)417-65-51, 8(812)373-00-73",нет,sport1mosk@yandex.ru,Московская застава,7810133266,1027804873887,
Московский,Государственное бюджетное учреждение спортивная школа олимпийского резерва №2 Московского района Санкт-Петербурга,"Санкт-Петербург, улица Ленсовета, д. 8","Легкая атлетика, тяжелая атлетика, спортивная гимнастика",6,21,М/Ж,Еремин Дмитрий Игоревич,"8(812)417-48-36, 8(812)417-48-35",нет,sport2moskov@gmail.com,Московская застава,7810214564,1027804888396,
Фрунзенский,Государственное бюджетное учреждение спортивная школа «Лидер» Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, Софийская ул., д. 33 к. 1, литера А",- футбол; - регби; - пулевая стрельба; - лёгкая атлетика; - спорт лиц с поражением ОДА; - спорт глухих; - спорт лиц с интеллектуальными нарушениями.,9,без ограничения в зависимости от результата,- мужской; - женский,Козлов Станислав Александрович,+7 (812) 2683186,+7 (812) 2683186,lider-sof33@mail.ru,Муниципальный округ № 72,7816561645,1137847177676,
