Порядковое число администрации и комитета,Название организации  (спортивного объекта),Сфера деятельности (вид спорта),Тип (каток/лыжная трасса),Адрес,Уточнение адреса,Координаты,"Ближайшая станция метро, остановка общественного транспорта",Район,Телефон(ы),Адрес сайта или  страницы в социальных сетях,Статус (работающий/ временно приостановлено посещение),Время работы  (расписание),Время суток (день/ ночь/ день и ночь),Расположение (открытый/закрытый),Стоимость услуг (платно/ бесплатно),Доступность для лиц с нарушениями здоровья,Наличие проката инвентаря (да/нет),Наличие услуг инструктора (да/нет),Наличие помещения для переодевания (да/нет),Наличие камеры хранения (да/нет),Наличие кафе на территории (да/нет),Иные услуги (перечень),Освещение
18.001,"АО ""Большой Гостинный Двор""",Фигурное катание,Каток,"Санкт-Петербург, Невский пр., д. 35",Внутренняя территория Большого Гостинного Двора,"59.933441,30.331275","Станция метро ""Гостинный Двор""",Центральный,8(981)990-01-56,Http://bgd.ru,Работа приостановлена до ноября 2023 г.,11.00-23.30,День,Открытый,Платно,"Да, вход на инвалидной коляске недоступен",True,True,False,True,True,"Льготные билеты, оплата картой, заточка коньков",Внутридворовое освещение
18.002,"Многофункциональный развлекательный комплекс ""Таврический сад""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Потёмкинская ул., д. 4А",Таврический сад,"59.94645,30.368979","Улица Чайковского, Киноцентр Ленинград",Центральный,8(812)605-00-81; 8(812)329-55-34,Http://tavrsad.com,Работающий,Круглосуточный,День и ночь,Закрытый,Платно,Да,True,True,True,True,True,"Гардероб, оплата картой, заточка коньков",Имеется
18.003,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга"" (Стадион Таврического сада)","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Кирочная ул., д. 50, лит. А",Стадион Таврического сада,"59.945815,30.368788",Потемкинская ул.; музей А.В. Суворова,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,True,False,True,True,False,,Имеется
18.004,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Социалистическая ул., д. 3","Санкт-Петербург, участок 2 (юго-западнее дома 3, лит. А по Социалистической ул.)","59.946327,30.384025","Станция метро ""Звенигородская""",Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Нарушение слуха нарушение и тотальная визуальная слепота интеллектуальные нарушения поражение верхних конечностей,False,False,False,False,False,,Имеется
18.005,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Кавалергардская ул., д. 9/11","Санкт-Петербург, Кавалергардская ул., участок 2 (севернее дома 2а, лит. Б по Очаковской ул.)","59.926578,30.380746",Кавалергардская улица,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,False,False,False,False,False,,Имеется
18.006,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Исполкомская ул., д. 5","Санкт-Петербург, участок 4 (юго-восточнее дома 5, лит. А по Исполкомской ул.)","59.926578,30.380746","Конная улиа, станция метро ""Площадь Александра Невского""",Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,False,False,False,False,False,,Внутридворовое освещение
18.007,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, Моховая ул., д. 12","Санкт-Петербург, Моховая ул., участок 10 (восточнее дома 12, лит. А по Моховой ул.)","59.945049,30.345548",Моховая улица,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,False,False,False,False,False,,Имеется
18.008,"ОАО СПП ""Центральное""","Хоккей, фигурное катание",Каток,"Санкт-Петербург, пр. Бакунина","Овсянниковский сад ,спортивная площадка","59.930843,30.377733",5-я Советская улица,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Да,False,False,False,False,False,,Парковое освещение
18.009,"Комитет по промышленной политике, инновациям и торговле Санкт-Петербурга",Фигурное катание,Каток,"Санкт-Петербург, Манежная площадь",Манежная площадь,"59.935903,30.340338",Гостинный двор,Центральный,8(812)576-03-60,Http://gov.spb.ru/gov/otrasl/c_culture/,Работающий,12.30-20.30,День,Открытый,Бесплатно,Нарушение слуха нарушение и тотальная визуальная слепота интеллектуальные нарушения поражение верхних конечностей,True,False,True,True,False,,Внутридворовое освещение
18.010,Комитет по культуре Санкт-Петербурга,Фигурное катание,Каток,"Санкт-Петербург, Конюшенная площадь",Конюшенная площадь,"59.941011,30.326181","Гостинный двор, Адмиралтейская",Центральный,8(812)576-80-06,Https://cipit.gov.spb.ru,Работающий,09.30-23.30,День,Открытый,Платно,Нарушение слуха нарушение и тотальная визуальная слепота интеллектуальные нарушения поражение верхних конечностей,True,False,False,False,True,,Внутридворовое освещение
18.011,"СПБ ГБУ ""Центр физической культуры, спорта и здоровья Центрального района Санкт-Петербурга""",Лыжная трасса,Лыжная трасса,"Кирочная ул., д. 50, лит. А",Таврический сад,"59.945178,30.371623",Потемкинская ул.; музей А.В. Суворова,Центральный,8(960)232-80-10,Http://gutcfksztsr.acentr.gov.spb.ru,Работа приостановлена до ноября 2023 г.,09.30-23.00,День,Открытый,Бесплатно,Нарушение слуха нарушение и тотальная визуальная слепота интеллектуальные нарушения поражение верхних конечностей,True,False,True,True,False,,Парковое освещение
8.001,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Партизана Германа, дом 8, корпус 2, литера А",,"59.838019,30.177447",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.002,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Партизана Германа, дом 21, литера А",,"59.836757,30.172578",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Отсутствует
8.003,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Партизана Германа, дом 28, литера А",,"59.827356,30.178156",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.004,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, проспект Кузнецова, дом 26, корпус 1, литера А",,"59.852579,30.186088",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.005,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"Санкт-Петербург, Красносельское шоссе, дом 34, литера А",,"59.785934,30.144523",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.006,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, Ленинский проспект, дом 100, корпус 2, литера А",,"59.854291,30.219901",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.007,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Маршала Захарова, дом 27, корпус 1, литера А",,"59.850888,30.203363",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.008,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Чекистов, дом 38, литера А",,"59.842825,30.149967",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Внутридворовое освещение
8.009,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"г.Санкт-Петербург, улица Здоровцева, дом 8, литера А",,"59.840139,30.163738",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Не работающий,9.00-22.00,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.010,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Каток,"Красное село, п. Хвойный, д. 92",,"59.670708,30.074855",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Не работающий,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Имеется
8.011,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Лыжная трасса,"г.Санкт-Петербург, Петергофское шоссе, дом 27, литера А",Южно-Приморский парк,"59.85068,30.173791",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.012,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Лыжная трасса,"г.Санкт-Петербург, Авангардная улица, дом 16, литера Д",Полежаевский парк,"59.835243,30.184489",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Работающая,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
8.013,"СПб ГБУ ""Центр физической культуры, спорта и здоровья Красносельского района""",Массовое катание,Лыжная трасса,"Санкт-Петербург, ул. Здоровцева, д. 8, лит. А",От ул. Чекистов вдоль реки Ивановки до пр. Ветеранов,"59.840139,30.163738",М. Проспект Ветеранов,Красносельский,365-98-54,"Https://vk.com/cfksiz, http://cfksz.krsl.gov.spb.ru/",Временно приостановлено посещение,Круглосуточно,День,Открытый,Бесплатно,Частично доступен,False,True,False,False,False,,Уличное освещение
