Район,Наименование учреждения,Сокращенное наименование,Адрес,Ближайшая станция метро,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Примечание
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Центр культуры, кино и досуга ""Павловск""","СПб ГБУ ""Центр культуры, кино и досуга ""Павловск""","196620, Санкт-Петербург, г.Павловск, ул. Конюшенная, д.7 лит. А","Купчино, Московская",Балунин Михаил Петрович,452-04-87,452-10-65,61020@mail.ru,"Пн-Вс с 09:00-21:00, без обеда",7820023907,1027809013737,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская музыкальная школа № 25 Пушкинского района""",СПб ГБУ ДО «Детская музыкальная школа № 25 Пушкинского района»,"196620, Санкт-Петербург, г.Павловск, ул. Садовая , д. 17, лит. А","Купчино, Московская",Воронцова Лариса Алексеевна,417-60-50,465-10-85,Dmsh25@mail.ru,"Пн-Вс с 09:00-20:00, без обеда",7822002155,1027809015618,None
Пушкинский,"Санкт-Петербургское государственное автономное учреждение ""Детский кинотеатр ""Авангард""","СПб ГАУ ""Детский кинотеатр ""Авангард""","196600, Санкт-Петербург, г.Пушкин, ул.Московская, д.32/17, лит. А","Купчино, Московская",Шамшина Джулия Ринатовна,465-81-17,466-43-24,Avangardkino@bk.ru,"Пн-Вс с 09:00 до 21-00, без обеда",7820009331,1027809013803,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская музыкальная школа № 45 Пушкинского района""",СПб ГБУ ДО «Детская музыкальная школа № 45 Пушкинского района»,"196601, Санкт-Петербург, г.Пушкин, ул. Конюшенная, д.33/35 лит. А","Купчино, Московская",Долгошеева Татьяна Александровна,451-70-27,451-70-27,Dmsh45d@mail.ru,"Пн-Сб с 09:00-20:00, без обеда",7820013169,1027809013440,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская художественная школа им.И.П.Саутова""",СПб ГБУ ДО «ДХШ И.П.Саутова»,"Санкт-Петербург, город Пушкин, Московское шоссе, дом 4, литера А","Купчино, Московская",Николаева Надежда Константиновна,466-93-00,466-93-00,Sautov-artschool@yandex.ru,"Пн-Пт с 10:00-20:00, без обеда Сб с 14:00-20:00, без обеда",7820014839,1027809014144,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Царскосельская гимназия искусств имени А.А. Ахматовой"" (Детская школа искусств)",СПбГБУДО «ЦГИ им. А.А.Ахматовой» (Детская школа искусств),"196601, Санкт-Петербург, г.Пушкин, ул.Леонтьевская, д.17","Купчино, Московская",Сидоров Юрий Васильевич,466-49-14,451-95-16,Artschool1169@yandex.ru,"Пн-Пт с 09:00-20:00, обед с 13:00-14:00",7820013560,1027809007610,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Пушкинский районный дом культуры""","СПб ГБУ ""Пушкинский районный ""Дом культуры""","196601, Санкт-Петербург, г.Пушкин, ул.Набережная, д.14","Купчино, Московская",Львова Алла Дмитриевна,466-47-32,466-48-22,Spbpushkindk@mail.ru,"Пн-Пт c 10:00-18:00, без обеда",7820007704,1027809010228,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Историко-литературный музей города Пушкина""",СПб ГБУ «Историко-литературный музей города Пушкина»,"196601, Санкт-Петербург, г.Пушкин, ул.Леонтьевская, д.28","Купчино, Московская",Лермонтова Елена Николаевна,466-55-10,465-99-82,Museum@ilmp.ru,"Пн-Вс с 09:30-18:00, обед с 13:00-13:30",7820018801,1027809001912,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Центральная районная библиотека им. Д.Н.Мамина-Сибиряка)",СПб ГБУ «ТЦБС Пушкинского района» Центральная районная библиотека им. Д.Н.Мамина-Сибиряка,"196601, Санкт-Петербург, г.Пушкин, ул. Малая, д.20","Купчино, Московская","Бобина Вера Владимировна - директор, Стрижова Татьяна Руслановна -заведующий",466-59-40,466-59-40,Tcbspushkin@mail.ru,"Пн-Чт с 12:00-19:00, Сб-Вс с 11:00-17:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Центральная районная детская библиотека)",СПб ГБУ «ТЦБС Пушкинского района» Центральная районная детская библиотека,"196607, Санкт-Петербург, г.Пушкин, ул. Ленинградская, д.36","Купчино, Московская",Шукшина Нина Викторовна,470-52-32,470-52-32,Crdb@cbspushkin.spb.ru,"Пн-Пт с 11:00-18:00, Сб с 11:00-17:00, без обеда",7820026954,1027809012659,None
