Район,Наименование учреждения,Сокращенное наименование,Адрес,Ближайшая станция метро,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Примечание
Выборгский,"Санкт-Петербургское государтсвенное бюджетное учреждение ""Подростково-молодежный центр ""МИР""","СПб ГБУ ПМЦ ""МИР""","Санкт-Петербург, пр. Энгельса, д. 147, к. 1, лит. Д",Проспект Просвещения,Некрасова Елена Владимировна,7(812)4098037,7(812)4098036,pmc-mir@yandex.ru,Парнас,7802114291,1027801582192,
Выборгский,"Санкт-Петербургское государственное бюджетное учреждение Дом молодежи ""ФОРПОСТ"" Выборгского района","СПб ГБУ ДМ ""ФОРПОСТ""","Санкт-Петербург, Лесной пр., д.61/3",Лесная,Морозова Татьяна Николаевна,+7(812)2950019,+7(812)2950019,dm_forpost@mail.ru,Сампсониевское,7802011634,1037804007944,
Фрунзенский район,"Санкт-Петербургское государственное бюджетное учреждение ""Подростково-молодежный досуговый центр ""Фрунзенский""","СПб ГБУ ""ПМДЦ ""Фрунзенский""","192236, Санкт-Петербург, ул. Софийская, д. 38, к. 2",Международная,Соколов Евгений Николаевич,411-85-75,411-85-75,pmdcfrunz@mail.ru,МО № 72,7816376882,1057812918492,
Калининский,"Санкт-Петербургское государственное бюджетное учреждение ""Подростково-молодежный центр ""Калининский""","СПб ГБУ ""ПМЦ ""Калининский""","195273, Санкт-Петербург, ул. Руставели, д. 37, лит. А",Гражданский проспект,Логвинова Наталья Владимировна,298-88-76,298-88-76,5564920@mail.ru,Пискаревка,7804033432,1027802519634,
Кронштадтский,"Санкт-Петербургское государственное бюджетное учреждение ""Кронштадтский Дворец молодёжи""","СПБ ГБУ ""КДМ""","Кронштадт, ул. Советская, д. 35",Беговая,Зыкова Елена Владимировна,311-22-14,435-23-98,bastion.35@mail.ru,Город Кронштадт,7843311806,1107847313100,
Приморский,Санкт-Петербургское государственное бюджетное учреждение «Дом молодёжи Приморского района Санкт-Петербурга»,СПб ГБУ «Дом молодёжи Приморского района»,"пр. Королёва, дом 32, корпус 1, литера Б",Комендантский проспект,Дементьева Елена Ивановна,342-99-42,342-99-42,dom-mol@yandex.ru,Озеро Долгое,7814385970,1077847612545,
Приморский,Санкт-Петербургское государственное бюджетное учреждение «Дом молодёжи Приморского района Санкт-Петербурга» (МТМ «В стиле»),Молодежная творческая мастерская «В стиле»,"Школьная ул., д.17",Черная речка,Дементьева Елена Ивановна,340-54-75,342-99-42,dom-mol@yandex.ru,Черная речка,7814385970,1077847612545,
Приморский,Санкт-Петербургское государственное бюджетное учреждение «Дом молодёжи Приморского района Санкт-Петербурга» (Арт-студия «На Ланском»),Арт-студия «На Ланском»,"Ланское шоссе, д.2/57, лит. А, пом.2Н",Черная речка,Дементьева Елена Ивановна,492-00-17,342-99-42,dom-mol@yandex.ru,Черная речка,7814385970,1077847612545,
Приморский,Санкт-Петербургское государственное бюджетное учреждение «Дом молодёжи Приморского района Санкт-Петербурга» (МК «Каскад»),Молодежный клуб «Каскад»,"Мебельная, ул., д.25, к.1, лит. А, пом. 26Н",Комендантский проспект,Дементьева Елена Ивановна,682-10-20,342-99-42,dom-mol@yandex.ru,№65,7814385970,1077847612545,
Приморский,Санкт-Петербургское государственное бюджетное учреждение «Дом молодёжи Приморского района Санкт-Петербурга» (МК «Ритм»),Молодежный клуб «Ритм»,"Мебельная, ул., д.25, к.1, лит. А, пом. 27Н",Комендантский проспект,Дементьева Елена Ивановна,620-62-22,342-99-42,dom-mol@yandex.ru,№65,7814385970,1077847612545,
