№,Полное наименование образовательного учреждения (в соответствии с Уставом),Адрес,Дата принятия решения о выдаче свидетельства о государственной аккредитации,Реквизиты свидетельства о государственной аккредитации,Реквизиты приложения к свидетельству,Срок окончания действия свидетельства о государственной аккредитации,"Перечень аккредитованных программ, укрупненных групп направлений подготовки и специальностей",Основание и дата переоформления свидетельства о государственной аккредитации,Основание и дата приостановления и возобновления действия свидетельства о государственной аккредитации,ОГРН,ИНН
1,Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Адмиралтейского района Санкт-Петербурга,"190020, Россия, Санкт-Петербург, Старо-Петергофский проспект, дом 33, лит.Б",2013-05-27,78А01 № 0000704,78А01 № 0000688,Бессрочно,Начальное общее образование; Основное общее образование,"6134-р, 30.12.2015",,1027810346739,7826048672
2,Государственное бюджетное общебразовательное учреждение Вторая Санкт-Петербургская Гимназия,"190000, Санкт-Петербург, ул.Казанская, дом 27, литер ""А""",2014-03-07,78А01 № 0000551,78А01 № 0000558,Бессрочно,Начальное общее - общеобразовательная; Основное общее - общеобразовательная; Среднее общее - общеобразовательная,,,1027810346387,7812017321
3,Государственное бюджетное общеобразовательное учреждение школа № 5 Адмиралтейского района Санкт-Петербурга,"190013, Санкт-Петербург, Батайский пер. Д.6-8 лит А",2013-05-27,78А01 № 0000521,78А01 № 0000604,Бессрочно,Начальное общее образование; Основное общее образование,"5245-р, 02.11.2015",,1027810298988,7826049281
4,Государственное бюджетное общеобразовательное учреждение гимназия № 190 Центрального района Санкт-Петербурга,"191028, Санкт-Петербург, набережная реки Фонтанки, дом 22, литер А",2011-03-14,78А01 № 0000241,78А01 № 0000297,Бессрочно,Основное общее образование; Среднее общее образование,"395-р, 14.02.2012; 2034-р, 27.04.2015",,1027809252130,7825129801
5,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 225 Адмиралтейского района Санкт-Петербурга,"190000, Санкт-Петербург, Адмиралтейская набережная, д. 4, лит. А",2013-01-16,78А01 № 0000219,78А01 № 0000272,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1805-р, 17.04.2015",,1027810349368,7826717877
6,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 229 Адмиралтейского района Санкт-Петербурга,"190068, Санкт-Петербург, переулок Бойцова, дом 3, литер А",2015-01-23,78А01 № 0000032,78А01 № 0000080,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,,,1027810356221,7826717274
7,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 232 Адмиралтейского района Санкт-Петербурга,"190068, Санкт-Петербург, набережная Крюкова канала, д.15, лит.А, пом. 1Н, 2Н, 3Н",2013-01-16,78А01 № 0000218,78А01 № 0000271,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1806-р, 17.04.2015",,1027810291189,7826717884
8,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 234 Адмиралтейского района Санкт-Петербурга,"190121, Санкт-Петербург, Канонерская улица , д.33, лит.А",2013-01-16,78А01 № 0000323,78А01 № 0000394,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"3136-р, 29.09.2015",,1027810334353,7826717901
9,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 235 с углубленным изучением отдельных учебных предметов им. Д.Д.Шостаковича Адмиралтейского района Санкт-Петербурга,"190121, город Санкт-Петербург, набережная реки Пряжки, дом 4-6, лит. А",2015-01-23,78А01 № 0001006,78А01 № 0001034,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"2516-р, 25.12.2020",,1037851004091,7826717612
10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 238 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,"190000, Санкт-Петербург, Галерная улица, д.36-38, лит. А",2013-01-16,78А01 № 0000532,78А01 № 0000612,Бессрочно,Начальное общее образование; Основное общее образование; Среднее общее образование,"1809-р, 17.04.2015",,1027810344100,7826717620
