№,Наименование лечебно-профилактического учреждения,Тип лечебно-профилактического учреждения,Адрес,Координаты,Район города,Руководитель,Телефон,Факс,Режим работы
1,"ГБУ ""Санкт-Петербургский НИИ скорой помощи имени И.И. Джанелидзе""",Клиники HИИ,"192242, Санкт-Петербург, ул. Будапештская, д. 3/5","59.8743,30.3641",Фрунзенский,Мануковский Вадим Анатольевич,709-61-57,774-86-75,
2,"ГБУЗ ""Санкт-Петербургский клинический научно-практический центр специализированных видов медицинской помощи (онкологический)""",Прочие больничные учреждения,"197758, Санкт-Петербург, п.Песочный, ул. Ленинградская, д.68а, лит.А","60.1203,30.1873",Курортный,Моисеенко Владимир Михайлович,573-91-91,573-91-91,
3,"СПб ГАУЗ ""Городская поликлиника №40""",Поликлиники,"191025, Санкт-Петербург, пр. Невский, д. 84-86","59.9326,30.3507",Центральный,Ченцов Дмитрий Викторович,244-38-68,244-38-69,
4,"СПб ГАУЗ ""Городская поликлиника №81""","Хозрасчетные поликлиники, амбулатории","190000, Санкт-Петербург, Казанская ул., д.54, литера А","59.9279,30.3079",Адмиралтейский,Иванов Константин Георгиевич,315-25-10,,
5,"СПб ГАУЗ ""Городская поликлиника №83""","Хозрасчетные поликлиники, амбулатории","197198, Санкт-Петербург, пр. Большой П.С., д. 10","59.9543,30.29",Петроградский,Кузьмин-Крутецкий Михаил Игоревич,233-67-69,235-82-89,
6,"СПб ГАУЗ ""Поликлиника городская стоматологическая №22""",Хозрасчетные стоматологические поликлиники,"191014, Санкт-Петербург, пер. Басков, д. 38","59.9393,30.3661",Центральный,Прожерина Неонила Георгиевна,327-33-10,273-70-13,
7,"СПб ГАУЗ ""Хоспис (детский и взрослый)""",Хосписы,"192131, Санкт-Петербург, ул.Бабушкина, д.56 корп.3 лит.А","59.8699,30.453",Невский,Кононова Елизавета Леонидовна,576-19-74,576-19-74,
8,"СПб ГБПОУ ""Акушерский колледж""",Учреждение среднего профессионального образования,"195269, Санкт-Петербург, ул. Учительская, д. 9, корп. 3","60.0333,30.39",Калининский,Батраков Дмитрий Юрьевич,246-22-50,246-22-50,
9,"СПб ГБПОУ ""Медицинский колледж №1""",Учреждение среднего профессионального образования,"198188, Санкт-Петербург, ул. Зайцева, д. 28, лит. А","59.8794,30.2722",Кировский,Бубликова Ирина Владимировна,786-01-44,786-01-44,
10,"СПб ГБПОУ ""Медицинский колледж №2""",Учреждение среднего профессионального образования,"198205, Санкт-Петербург, ул. Чекистов, д. 18","59.842,30.1784",Красносельский,Ряскин Александр Николаевич,409-70-13,409-70-13,
11,"СПб ГБПОУ ""Медицинский колледж №3""",Учреждение среднего профессионального образования,"194354, Санкт-Петербург, пер. Учебный, д. 9","60.0369,30.3416",Выборгский,Федотова Наталия Витальевна,510-67-44,510-67-44,
12,"СПб ГБПОУ ""Медицинский колледж им. В.М. Бехтерева""",Учреждение среднего профессионального образования,"196247, Санкт-Петербург, пр. Ленинский, д. 149","59.8509,30.2991",Московский,"Курбатова Ульяна Борисовна""",246-24-43,246-24-43,
13,"СПб ГБПОУ ""Медицинский техникум №2""",Учреждение среднего профессионального образования,"192102, Санкт-Петербург, Волковский пр., 106","59.8893,30.3559",Фрунзенский,Баженова Ольга Петровна,246-32-30,246-32-30,
14,"СПб ГБПОУ ""Медицинский техникум №9""",Учреждение среднего профессионального образования,"197183, Санкт-Петербург, ул. Савушкина, д. 5","59.9877,30.2981",Приморский,Спиридонова Любовь Николаевна,246-31-67,246-31-67,
15,"СПб ГБПОУ ""Фельдшерский колледж""",Учреждение среднего профессионального образования,"195267, Санкт-Петербург, ул. Ушинского, д. 45","60.0438,30.4179",Калининский,Котова Галина Николаевна,531-16-22,,
16,"СПб ГБУ ""Психоневрологический диспансер №10""",Психоневрологические диспансеры,"190121, Санкт-Петербург, пер. Матвеева, д. 3 литера Г","59.9264,30.2915",Адмиралтейский,Серебрякова Елена Вячеславовна,714-20-10,714-20-10,
