№ п/п,Полное наименование объединения,Территориальный  статус,Дата регистрации объединения (общества),ИНН,ОГРН,Адрес,Координаты,Район города,Ближайщая станция метро,Руководитель,Телефон,Факс,Электронная почта
1,"Региональная общественная организация ""Украинская национально-культурная автономия Санкт-Петербурга""",Региональная,1998-03-03,7801123720,1037858021453,"198096, Санкт-Петербург, ул. Кронштадтская, дом 15, корпус 2, литера А","59.866499,30.254199",Кировский,Автово,Тегза Василий Юрьевич,292-34-72,-,Tegzav@rambler.ru
2,"Санкт-Петербургская общественная организация ""Полтавское землячество""",Региональная,2004-09-29,7802234461,1047831005914,"195248, Санкт-Петербург, пр. Энергетиков, дом 26, литера А","59.954791,30.435335",Красногвардейский,Ладожская,Волик Михаил Алексеевич,8-921-752-37-74,224-31-87,-
3,"Санкт-Петербургская Региональная общественно-культурная организация ""Союз Донбасовцев""",Региональная,2011-05-17,7805340010,1117800005575,"198095, Санкт-Петербург, ул. Швецова, дом 12, корпус 2, литера А","59.896689,30.282487",Кировский,Нарвская,Лисовский Сергей Анатольевич,233-51-43,-,Sergei_lisovskii@mail.ru
4,"Санкт-Петербургская общественная организация ""Украинское национально-культурное общество им. Т.Г. Шевченко""",Региональная,2011-04-15,7801350024,1117800002440,"199155, Санкт-Петербург, ул. Уральская, дом 19, корпус 5, литера Л","59.955669,30.258115",Василеостровский,Приморская,Косенко Владимир Федорович,8-904-517-82-15,-,Ukandpit@rambler.ru
5,"Городская общественная организация ""Азербайджанская национально-культурная автономия Санкт-Петербурга""",Региональная,2000-12-26,7825126624,1037858032630,"197022, Санкт-Петербург, пр. Каменноостровский, дом 42","59.96689,30.309903",Петроградский,Петроградская,Мамишев Вагиф Имамгулу-оглы,346-40-58,-,Aznkaspb@mail.ru
6,"Региональная общественная организация ""Азербайджанское общество дружбы и сотрудничества в г. Санкт-Петербург""",Региональная,2019-10-18,7813639879,1197800004731,"197198, город Санкт-Петербург, улица Блохина, дом 21 литер а, квартира 5","59.952295,30.298046",Петроградский,Спортивная,Масимов Сабир Мирзоевич,248-17-55,-,Azdias@mail.ru
7,"Региональная общественная организация ""Национально-культурное объединение друзей Азербайджанцев ""Нахчыван""",Региональная,2012-07-03,7814290693,1127800006861,"197372, Санкт-Петербург, ул. Стародеревенская, дом 34, корпус 1, литера Б","60.007425,30.246779",Приморский,Комендантский проспект,Гахраманов Идрис Исрафил оглы,342-46-83,342-46-83,Info@spb-nakhchivan.ru
8,"Региональная общественная организация ""Азербайджанское объединение соотечественников ""Азербайджанский Дом""",Региональная,2017-05-16,7806268895,1177800002302,"195279, Санкт-Петербург, пр. Индустриальный, дом 35, корпус 1, литера А","59.954232,30.469866",Красногвардейский,Ладожская,Абдурахманов Фахраддин Зарвалы Оглы,8-981-174-00-45,-,-
9,"Городская общественная организация ""Татарская национально-культурная автономия Санкт-Петербурга""",Региональная,1997-09-22,7801106393,1037858028790,"194156, Санкт-Петербург, ул. Пархоменко, дом 12, офис 105","59.942642,30.319315",Выборгский,Площадь Мужества,Яркаев Раис Марсович,550-36-63,-,Tnkaspb@yandex.ru
10,"Межрегиональная культурно-просветительская общественная организация ""Татарская община Санкт-Петербурга и Ленинградской области""",Межрегиональная,2005-03-04,7838027878,1057806303279,"190000, Санкт-Петербург, пер. Антоненко, дом 3, литера А, пом.6Н","59.930394,30.310909",Адмиралтейский,Адмиралтейская,Гараев Ильдар Адегамович,712-76-17,-,9647525@mail.ru
