Номер,Название организации,Адрес,Координаты,Район города,Ближайшая станция метро,Руководитель,Телефон,Факс,Режим работы,Электронная почта,ИНН,ОГРН,Сайт,Сведения о деятельности
1,Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Психоневрологический интернат № 1»,"197720, Санкт-Петербург, Зеленогорск, улица Мира, дом 6","60.199207,29.689764",Курортный,Беговая,Земцов Сергей Николаевич,433-88-80,433-88-91,8:30 - 17:00,Pni1@ksp.gov.spb.ru,7825065611,1037843043050,Www.pni-1.ksp.gov.spb.ru,"Социальное обслуживание граждан пожилого возраста, частично или полностью утративших способность к самообслуживанию, с психическими нарушениями, а также инвалидов трудоспособного возраста с множественными нарушениями развития, нарушениями умственного развития."
2,Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Психоневрологический интернат № 2»,"198515, Санкт-Петербург, Санкт-Петербургское шоссе, дом 130","59.85659,30.005401",Петродворцовый,Проспект Ветеранов,Мещанинова Татьяна Петровна,246-78-41,246-78-41,"Пн-пт 09:00-17:30, обед 13:30-14:00",Pni2@ksp.gov.spb.ru,7819017673,1027808915485,Http://pni2.ksp.gov.spb.ru/,Предоставление социальных услуг в стационарной форме социального обслуживания
3,Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Психоневрологический интернат № 3»,"198504, Санкт-Петербург, Петергоф, Заячий проспект, дом 3","59.869835,29.880803",Петродворцовый,"Ленинский проспект, Автово",Чеминава Теймураз Варламович,420-24-11,427-44-41,Круглосуточно,Pni3@ksp.gov.spb.ru,7819026974,1027808917685,Http://pni3.ru/,Предоставление социальных услуг в стационарной форме социального обслуживания
4,Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Психоневрологический интернат № 4»,"196602, Санкт-Петербург, Пушкин, Павловское шоссе, дом 67","59.698314,30.423244",Пушкинский,Купчино,Юзефович Александр Святославович,465-26-00,465-26-00,Круглосуточно,Pni4@ksp.gov.spb.ru,7820012542,1027809011306,Http://pni4spb.ru/,"Обеспечение постоянного и временного проживания престарелых граждан и инвалидов I и II группы, нуждающихся в уходе, бытовом и медико-социальном обслуживании, реабилитационных услугах, социально-трудовой адаптации."
5,Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Психоневрологический интернат № 6»,"197729, Санкт-Петербург, Смолячково, Приморское шоссе, дом 675","60.185005,29.502004",Курортный,Старая Деревня,Костив Ирина Григорьевна,433-24-30,433-24-30,"Пн-пт 09:00-17:30, обед 13:00-13:30",Pni6@ksp.gov.spb.ru,7827661874,1027812404256,Www.pni6.ru,"Предоставление гражданам пожилого возраста, частично или полностью утративших способность к самообслуживанию, с психическими нарушениями, инвалидам трудоспособного возраста с множественными нарушениями развития, нарушениями умственного развития, а также с психическими нарушениями социальных услуг в стационарной форме социального обслуживания при постоянном, временном или пятидневном (в неделю) круглосуточном проживании в помещениях учреждения"
6,Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Психоневрологический интернат № 7»,"198264, Санкт-Петербург, проспект Ветеранов, дом 180","59.834776,30.129642",Красносельский,Проспект Ветеранов,Белая Светлана Владимировна,744-36-03,744-36-07,9-00 - 17-30,Pni7@ksp.gov.spb.ru,7807018016,1027804609216,Http://pni7.ru,"Социальное обслуживание граждан пожилого возраста, частично или полностью утративших способность к самообслуживанию, с психмческими нарушениями, а также инвалидов трудоспособного возраста с множественными нарушениями, нарушениями умственного развития"
7,Санкт-Петербургское государственное автономное стационарное учреждение социального обслуживания «Психоневрологический интернат № 9»,"198320, Санкт-Петербург, Красное Село, улица Красногородская, дом 1","59.718356,30.087491",Красносельский,Проспект Ветеранов,Чистяков Евгений Владимирович,741-88-48,741-88-48,9-00 - 17-30,Pni9@ksp.gov.spb.ru,7807022277,1037819001990,Http://pni9.ru,"Социальное обслуживание граждан пожилого возраста, частично или полностью утративших способность к самообслуживанию, с психмческими нарушениями, а также инвалидов трудоспособного возраста с множественными нарушениями, нарушениями умственного развития"
8,Санкт-Петербургское государственное автономное стационарное учреждение социального обслуживания «Психоневрологический интернат № 10» имени В.Г.Горденчука,"193312, Санкт-Петербург, улица Коллонтай, дом 36","59.927797,30.49518",Невский район,Проспект Большевиков,Веревкин Иван Александрович,588-30-40,588-30-40,Круглосуточный,Pni10@ksp.gov.spb.ru,7811040938,1037825024170,Pni10.ru,"Социальное обслуживание граждан пожилого возраста, частично или полностью утративших способность к самообслуживанию, с психическими нарушениями, инвалидов трудоспособного возраста с множественными нарушениями развития, с нарушениями умственного развития; Социальное обслуживание инвалидов трудоспособного возраста с психическими нарушениями."
9,Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Дом-интернат для престарелых и инвалидов»,"198515, Санкт-Петербург, Стрельна, Санкт-Петербургское шоссе, дом 98/1","59.852909,30.026928",Петродворцовый,"Проспект Ветеранов, Автово",Смольянская Нелли Валентиновна,421-40-98,421-40-98,"Круглосуточно,администрация: 09.00-17.30",Dipi@ksp.gov.spb.ru,7819018229,1027808918114,Dpi-5.spb.ru,"Предоставление гражданам пожилого возраста, частично или полностью утративших способность к самообслуживанию, инвалидам трудоспособного возраста социальных услуг в стационарной форме социального обслуживания"
10,Санкт-Петербургское государственное бюджетное стационарное учреждение социального обслуживания «Дом-интернат для престарелых и инвалидов № 1»,"197341, Санкт-Петербург, улица Поклонногорская, дом 52","60.020531,30.302293",Приморский,Удельная,Севастьянов Михаил Александрович,417-35-81,417-56-22,Круглосуточно,Dipi1@ksp.gov.spb.ru,7814133757,1037832011535,Http://dipi1.ksp.gov.spb.ru,"Предоставление социальных услуг гражданам пожилого возраста, частично или полностью утратившим способность к самообслуживанию (одиноко проживающим, одиноко проживающим супружеским парам, проживающим в семьях), инвалидам трудоспособного возраста с множественными нарушениями развития и с нарушениями физического развития"
