№ с/у,Административный район,Судебный район,Адрес,Примечание к адресу,Телефон / факс,Часы работы,Прием граждан,Судья,Секретарь суда,Секретарь судебного заседания,Помощник мирового судьи,Описание границ участка,Реквизиты для уплаты государственной пошлины: Счет получателя,Реквизиты для уплаты государственной пошлины: Банк получателя,Реквизиты для уплаты государственной пошлины: БИК банка получателя,Реквизиты для уплаты государственной пошлины: Корреспондентский счет,Реквизиты для уплаты государственной пошлины: ИНН получателя,Реквизиты для уплаты государственной пошлины: КПП получателя,Реквизиты для уплаты государственной пошлины: Наименование получателя,Реквизиты для уплаты государственной пошлины: Код бюджетной классификации,Реквизиты для уплаты государственной пошлины: Код ОКТМО,Реквизиты для уплаты государственной пошлины: Основание платежа (поле 106),Реквизиты для уплаты государственной пошлины: Налоговый период (поле 107),Реквизиты для уплаты государственной пошлины: Тип платежа (поле 110)
1,Адмиралтейский административный район,Октябрьский судебный район,"190068, Санкт-Петербург, ул. Садовая, д. 55-57, литера А",,246-26-31,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Никитина Татьяна Михайловна,,,,"Границы судебного участка N 1 проходят:  от пересечения пр. Римского-Корсакова и Большой Подьяческой ул. по оси Большой Подьяческой ул. до Садовой ул., далее по оси Садовой ул. до Вознесенского пр., далее по оси Вознесенского пр. до р. Фонтанки, далее по оси р. Фонтанки до кан. Грибоедова, далее по оси кан. Грибоедова до пр. Римского-Корсакова, далее по оси пр. Римского-Корсакова до Большой Подьяческой ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000019,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 7 по Санкт-Петербургу),18210803010011000110,40302000,,,
2,Адмиралтейский административный район,Октябрьский судебный район,"190068, Санкт-Петербург, ул. Садовая, д. 55-57, литера А",,246-26-33,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Евстратова Алена Андреевна,,,,"Границы судебного участка N 2 проходят:  от пересечения оси р. Фонтанки и кан. Грибоедова по оси р. Фонтанки до устья р. Большой Невы, далее по оси р. Большой Невы до Ново-Адмиралтейского кан., далее по оси Ново-Адмиралтейского кан. до р. Мойки, далее по оси р. Мойки до Крюкова кан., далее по оси Крюкова кан. до кан. Грибоедова, далее по оси кан. Грибоедова до р. Фонтанки.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000019,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 7 по Санкт-Петербургу),18210803010011000110,40302000,,,
3,Адмиралтейский административный район,Октябрьский судебный район,"190068, Санкт-Петербург, ул. Садовая, д. 55-57, литера А",,246-26-35,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Шампанская Анастасия Сергеевна,,,,"Границы судебного участка N 3 проходят: от пересечения Гороховой ул. и р. Фонтанки по оси р. Фонтанки до Московского пр., далее по оси Московского пр. до Садовой ул., далее по оси Садовой ул. до пр. Римского-Корсакова, далее по оси пр. Римского-Корсакова до Вознесенского пр., далее по оси Вознесенского пр. до Казанской ул., далее по оси Казанской ул. до пер. Антоненко, далее по оси пер. Антоненко до р. Мойки, далее по оси р. Мойки до Гороховой ул., далее по оси Гороховой ул. до р. Фонтанки.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000019,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 7 по Санкт-Петербургу),18210803010011000110,40302000,,,
4,Адмиралтейский административный район,Октябрьский судебный район,"190068, Санкт-Петербург, ул. Садовая, д. 55-57, литера А",,246-26-37,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Евдокимова Ирина Сергеевна,,,,"Границы судебного участка N 4 проходят:от пересечения кан. Грибоедова и Крюкова кан. по оси Крюкова кан. до р. Мойки, далее по оси р. Мойки (включая о. Новая Голландия) до Ново-Адмиралтейского кан., далее по оси Ново-Адмиралтейского кан. до р. Большой Невы, далее по оси р. Большой Невы до Дворцового моста, далее по оси Дворцового моста, Дворцового проезда, Адмиралтейского пр., ул. Якубовича до Почтамтского пер., далее по оси Почтамтского пер., Фонарного пер., Большой Подьяческой ул. до пр. Римского-Корсакова, далее по оси пр. Римского-Корсакова до кан. Грибоедова, далее по оси кан. Грибоедова до Крюкова кан.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000019,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 7 по Санкт-Петербургу),18210803010011000110,40302000,,,
40,Адмиралтейский административный район,Октябрьский судебный район,"190068, Санкт-Петербург, ул. Садовая, д. 55-57, литера А",,310-29-70,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Орельская Ксения Владимировна,,,,"Границы судебного участка N 40 проходят:  от пересечения Адмиралтейского пр. и Гороховой ул. по оси Гороховой ул. до р. Мойки, далее по оси р. Мойки до пер. Антоненко, далее по оси пер. Антоненко до Казанской ул., далее по оси Казанской ул. до Вознесенского пр., далее по оси Вознесенского пр. до пр. Римского-Корсакова, далее по оси пр. Римского-Корсакова до Садовой ул., далее по оси Садовой ул. до Московского пр., далее по оси Московского пр. до р. Фонтанки, далее по оси р. Фонтанки до Вознесенского пр., далее по оси Вознесенского пр. до Садовой ул., далее по оси Садовой ул. до Большой Подьяческой ул., далее по оси Большой Подьяческой ул., Фонарного пер., Почтамтского пер. до ул. Якубовича, далее по оси ул. Якубовича, Адмиралтейского пр. до Гороховой ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000019,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 7 по Санкт-Петербургу),18210803010011000110,40302000,,,
5,Адмиралтейский административный район,Ленинский судебный район,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",,241-51-27,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Никитенко София Алексеевна,,,,"Границы судебного участка N 5 проходят: от пересечения Загородного пр. и Звенигородской ул. по оси Звенигородской ул. до Обводного кан., далее до оси Обводного кан. до Верейской ул., далее по оси Верейской ул. до Клинского пр., далее по оси Клинского пр. до Подольской ул., далее по оси Подольской ул. до Загородного пр., далее по оси Загородного пр. до Введенского кан., далее по оси Введенского кан. до р. Фонтанки, далее по оси р. Фонтанки до Бородинской ул., далее по оси Бородинской ул. до Загородного пр., далее по оси Загородного пр. до Звенигородской ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000026,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 8 по Санкт-Петербургу),18210803010011000110,40306000,,,
6,Адмиралтейский административный район,Ленинский судебный район,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",,241-51-24,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Ткаченко Екатерина Владимировна,,,,"Границы судебного участка N 6 проходят: от пересечения Верейской ул. и Обводного кан. по оси Обводного кан. до Московского пр., далее по оси Московского пр. до р. Фонтанки, далее по оси р. Фонтанки до Введенского кан., далее по оси Введенского кан. до Загородного пр., далее по оси Загородного пр. до Подольской ул., далее по оси Подольской ул. до Клинского пр., далее по оси Клинского пр. до Верейской ул., далее по оси Верейской ул. до Обводного кан.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000026,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 8 по Санкт-Петербургу),18210803010011000110,40306000,,,
7,Адмиралтейский административный район,Ленинский судебный район,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",,241-51-29,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Устинкина Оксана Евгеньевна,,,,"Границы судебного участка N 7 проходят: от р. Фонтанки по оси Московского пр. до 6-й Красноармейской ул., далее по оси 6-й Красноармейской ул. до Измайловского пр., далее по оси 11-й Красноармейской ул. до Лермонтовского пр., далее по оси Лермонтовского пр. до р. Фонтанки, далее по оси р. Фонтанки до Московского пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000026,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 8 по Санкт-Петербургу),18210803010011000110,40306000,,,
8,Адмиралтейский административный район,Ленинский судебный район,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",,241-51-22,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Глушанок Ольга Александровна,,,,"Границы судебного участка N 8 проходят: от пересечения 6-й Красноармейской ул. и Московского пр. по оси Московского пр. до Малой Митрофаньевской ул., далее на запад по оси Малой Митрофаньевской ул. и ее продолжению, пересекая ж.-д. пути Балтийской ж.д., до западной стороны полосы отвода Балтийской ж.д., далее по западной стороне полосы отвода Балтийской ж.д. до Балтийского вокзала, далее вдоль западной границы территории Балтийского вокзала, по западной стороне пл. Балтийского вокзала до Лермонтовского пр., далее по оси Лермонтовского пр. до 11-й Красноармейской ул., далее по оси 11-й Красноармейской ул. до Измайловского пр., далее по оси 6-й Красноармейской ул. до Московского пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000026,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 8 по Санкт-Петербургу),18210803010011000110,40306000,,,
9,Адмиралтейский административный район,Ленинский судебный район,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",,241-51-18,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Разина Людмила Игоревна,,,,"Границы судебного участка N 9 проходят: от Обводного кан. по западной стороне пл. Балтийского вокзала, вдоль западной границы территории Балтийского вокзала и далее по западной стороне полосы отвода Балтийской ж.д. до южной границы полосы отвода ж.д., проходящей между заводом железобетонных изделий Метростроя и предприятием «Красный треугольник», далее на запад по южной границе полосы отвода ж.д., по юго-восточной границе территории лечебно-производственного комбината, по пешеходной дорожке на юго-запад, по оси проезда между зданием со входом на ст. метро Нарвская и домом 54 по Старо-Петергофскому пр., далее по северной стороне трамвайных путей пл. Стачек до Перекопской ул., далее на северо-запад по оси Перекопской ул. до р. Таракановки, далее по оси р. Таракановки до р. Екатерингофки, далее по оси р. Екатерингофки, исключая Малый Резвый о-в, до Обводного кан., далее по оси Обводного кан. до западной стороны пл. Балтийского вокзала.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000026,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 8 по Санкт-Петербургу),18210803010011000110,40306000,,,
