№,Кадастровый номер,Наименование объекта,Район города,Адрес,Правоустанавливающий документ,Дата начала,Дата окончания,Наименование генерального подрядчика,Общая площадь,Дата предоставления отчета инвестором,Состояние дел на объекте,Тип строительства
1,78:10:0005556:5,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО,
ПРОСПЕКТ ЛУНАЧАРСКОГО, УЧАСТОК 1",Калининский,"Санкт-Петербург, проспект Луначарского, участок 1, (северо-восточнее пересечения с Лужской улицей)",Договор безвозмездного пользования № 04/ЗБ-04089 от 25.01.2021 (ФКСР),05.04.2021,30.12.2022,"№ 09/ОК-21 от 05.04.2021
ООО ""Глобус""",6726.0,-,"Ведутся работы по кирпичной кладке стен и перегородок, штукатурке, монолитные работы",СМР
2,78:40:0008339:89,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО,
ПЕТЕРГОФСКОЕ ШОССЕ, УЧАСТОК 1",Красносельский,"Санкт-Петербург, Петергофское шоссе, участок 1, (северо-западнее пересечения с улицей Адмирала Трибуца)",Договор безвозмездного пользования № 08/ЗБ-03066 от 18.12.2020 (ФКСР),05.04.2021,25.12.2023,"№ 10/ОК-21 от 05.04.2021
ООО ""Глобус""",4736.39,-,"Ведутся работы по арматурным заготовкам для армирования стен здания на арматурном участке, вязке армокаркасов стен  в осях 1-7, демонтажу и перемещению опалубку на новую захватку, завозу песка для засыпки пазух по периметру здания",СМР
3,78:36:0557301:28,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО, 
2-Й ВЕРХНИЙ ПЕРЕУЛОК, УЧАСТОК 1",Выборгский,"Санкт-Петербург, 2-й Верхний переулок, участок1 (восточнее дома 10, литера К 
по 2-му Верхнему переулку) (нежилая зона ""ПАРНАС"", квартал 3)",на стадии подготовки,-,30.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",2563.5,-,Работы не ведутся,СМР
4,78:38:0022340:8,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО, ПОС.КОМАРОВО, УЛ. СЕВЕРНАЯ, Д.4, ЛИТЕРА А",Курортный,"Санкт-Петербург, пос. Комарово, ул. Северная, д.4, литера А","Постоянное (бессрочное) пользование №78-78-04/021/2011-170 от 26.11.2011 (СПб ГКУ ""ПСО ПС СПб по Курортному району СПб"")",-,30.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",1834.32,-,Работы не ведутся,СМР
5,78:36:0013403:3002,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО, ПОСЕЛОК ПАРГОЛОВО, КОМЕНДАНТСКИЙ ПРОСПЕКТ, УЧАСТОК 1",Выборгский,"Санкт-Петербург, пос. Парголово, Комендантский пр., участок 1 (юго-западнее дома № 140, литера А по Комендантскому пр.) (территория Санкт-Петербургского Государственного учреждения ""Курортный лесопарк"", квартал 68 Песочинского лесничества)",на стадии подготовки,-,30.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",2388.8,-,Работы не ведутся,СМР
6,78:40:0905017:17,"СТРОИТЕЛЬСТВО ПОЖАРНОГО ДЕПО  КРАСНОЕ СЕЛО, КИНГИСЕППСКОЕ ШОССЕ, УЧАСТОК 1",Красносельский,"Санкт-Петербург, г. Красное село, Кингисеппское шоссе, участок 1 (юго-восточнее дома № 49, корпус 3, литера А по Кингисеппскому шоссе) (г. Красное село, квартал Т)",на стадии подготовки,-,30.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",2357.6,-,Работы не ведутся,СМР
7,78:34:0428601:1385,"СТРОИТЕЛЬСТВО МНОГОКВАРТИРНОГО ДОМА, НИЖНЕ-КАМЕНСКАЯ УЛИЦА, УЧАСТОК 46",Приморский,"Санкт-Петербург, Нижне-Каменская улица, участок 46,
(территория квартала 74Б района Каменка, ограниченной
Глухарской улицей, проспектом Авиаконструкторов,
Плесецкой улицей, Нижне-Каменской улицей; ФЗУ № 1)",Договор безвозмездного пользования №17/ЗБ-07200 от 01.02.2019 (ФКСР),28.11.2019,15.12.2021,"№ 19/ЗП-19 от 28.11.2019
ООО «ИСК «НКС»  (ГОВР)",21352.0,-,"Строительно-монтажные работы завершены, получено разрешение на ввод объекта в эксплуатацию от 15.12.2021 № 78-15-110-2021",СМР
8,78:34:0428601:1388,"СТРОИТЕЛЬСТВО МНОГОКВАРТИРНОГО ДОМА, ГЛУХАРСКАЯ УЛИЦА, УЧАСТОК 57",Приморский,"Санкт-Петербург, Глухарская улица, участок 57, (территория квартала 74Б района Каменка, ограниченной Глухарской ул., пр. Авиаконструкторов, Плесецкой ул., Нижне-Каменской ул.; ФЗУ № 3)",Договор безвозмездного пользования №17/ЗБ-07642 от 14.12.2020 (ФКСР),15.09.2021,25.12.2023,"№ 69/ОК-21 от 15.09.2021
ООО «ИСК «НКС»",20490.6,-,"Земляные работы по откопке котлована в осях 1-10/А-М (1 секция). 
Устройство песчаной и бетонной подготовки под ростверки в осях 11-17/А-М (2 секция). 
Устройство монолитного ростверка фундаментной плиты. Выполнено в осях 18-27/А-М (3 секция). Под 2 секцию каркасы заготовлены.
Бетонирование фундамента 2-го башенного крана",СМР
9,78:34:0428601:1387,"СТРОИТЕЛЬСТВО МНОГОКВАРТИРНОГО ДОМА, ГЛУХАРСКАЯ УЛИЦА, УЧАСТОК 58",Приморский,"Санкт-Петербург, Глухарская улица, участок 58, (территория квартала 74Б района Каменка, ограниченной Глухарской ул., пр. Авиаконструкторов, Плесецкой ул., Нижне-Каменской ул.; ФЗУ № 2)",Договор безвозмездного пользования №17/ЗБ-07643 от 14.12.2020 (ФКСР),-,25.12.2023,"КОНКУРС
(ГК - июнь 2022 г.)",29567.63,-,Работы не ведутся,СМР
10,78:13:0007440:6051,"СТРОИТЕЛЬСТВО МНОГОКВАРТИРНОГО ДОМА, ШИПКИНСКИЙ ПЕР., Д.3, КОРП.2, ЛИТЕРА А",Фрунзенский,"Санкт-Петербург, Шипкинский пер., д. 3, корп. 2, литера А",на стадии подготовки,-,30.12.2024,"КОНКУРС
(ГК - июнь 2022 г.)",5821.42,-,Работы не ведутся,СМР
