№,Наименование предприятия,Сокращенное наименование предприятия,Адрес,Обслуживаемый район,Название парка,Руководитель предприятия,Телефон,Факс,Электронная почта,ИНН,ОГРН,Сайт,Сведения о деятельности,Координаты
1,Акционерное общество «Красногвардейское садово-парковое предприятие «Охтинка»,"АО ""КСПП ""Охтинка""","195176, Санкт-Петербург, Львовская улица, дом 5",Красногвардейский,,Гехаев Руслан Михайлович,225-12-12,225-50-50,ohtinka@ohtinka.spb.ru,7806345677,5067847397162,www.ohtinka.spb.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.968898,30.41992"
2,Акционерное общество «Садово-парковое предприятие «Приморское»,"АО ""СПП ""Приморское""","197372, Санкт-Петербург, Камышовая улица, дом 23",Приморский,,Лелеков Игорь Геннадьевич,643-50-14,643-50-15,info@sppprim.ru,7814347935,5067847124901,www.sppprim.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"60.007812,30.240158"
3,Акционерное общество «Садово-парковое предприятие «Центральное»,"АО ""СПП ""Центральное""","197198, Санкт-Петербург, улица Лизы Чайкиной, дом 4/12","Адмиралтейский, Петроградский, Центральный",,Харичева Анна Григорьевна,233-66-73,232-04-36,gupcentralnoe@mail.ru,7813407853,1089847099143,www.sppcentralnoe.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.956232,30.298809"
4,Акционерное общество «Садово-парковое предприятие «Колпинское»,"АО ""СПП ""Колпинское""","196655, Санкт-Петербург, г.Колпино, набережная Комсомольского канала, дом 26",Колпинский,,Пузакова Алла Михайловна,461-53-33,461-53-33,kolpinskoe_sph@mail.ru,7817326228,1127847244271,www.kolpinskoe-sph.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.747947,30.612456"
5,Санкт-Петербургское государственное казенное учреждение «Парк 300-летия Санкт-Петербурга»,"СПб ГКУ ""Парк 300-летия Санкт-Петербурга""","197374, Санкт-Петербург, Приморский проспект, дом 74",Приморский,парк 300-летия Санкт-Петербурга,Патиенко Екатерина Александровна,345-10-80,345-10-80,spbpark300@yandex.ru,7813102523,1037828016588,www.park300spb.ru,содержание и ремонт объектов зеленых насаждений общего пользования городского значения и уличного озеленения,"59.983924,30.202395"
6,Санкт-Петербургское государственное казенное учреждение «Парк культуры и отдыха «Екатерингоф»,"СПб ГКУ ""Парк Екатерингоф""","198099, Санкт-Петербург, Лифляндская улица, дом 12",Адмиралтейский,парк культуры и отдыха Екатерингоф,Синкевич Елена Николаевна,786-99-55,786-99-55,ekateringof@yandex.ru,7809000790,1027810272148,нет,содержание и ремонт объектов зеленых насаждений общего пользования городского значения и уличного озеленения,"59.902036,30.260164"
7,Акционерное общество «Садово-парковое предприятие «Невское»,"АО ""СПП ""Невское""","193315, Санкт-Петербург, улица Новосёлов, дом 53, корпус 2",Невский,,Петрова Ольга Викторовна,446-59-42,446-22-29,pponevskoe@mail.ru,7811351651,5067847209238,www.sppnevskoe.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.885968,30.482344"
8,Санкт-Петербургское государственное унитарное садово-парковое предприятие «Южное»,"СПб ГУСПП ""Южное""","196066, Санкт-Петербург, Московский проспект, дом 189, литера А",Московский,,Гусева Оксана Юрьевна,373-09-92,373-09-92,sppmsk@sppmsk.ru,7810239840,1037821022106,www.sppmsk.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.853704,30.318779"
9,Акционерное общество «Садово-парковое хозяйство «Василеостровец»,"АО ""СПП ""Василеостровец""","199178, Санкт-Петербург, 12-я линия В.О., дом 7",Василеостровский,,ИО Харичева Анна Григорьевна,323-76-18,321-43-11,vasoffice@ya.ru,7801416557,5067847313452,www.vasileostrovetc.spb.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.937662,30.275192"
10,Санкт-Петербургское государственное унитарное предприятие «Московский парк Победы»,"СПб ГУП ""Московский парк Победы""","196105, Санкт-Петербург, Кузнецовская улица, дом 25",Московский,Московский парк Победы,Ганиш Петр Петрович,388-08-81,388-08-81,spbpark@mail.ru,7810242554,1027804855715,www.gupmpp.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.871432,30.332577"
11,Акционерное общество «Южно-Приморский парк»,"АО ""Южно-Приморский парк""","198328, Санкт-Петербург, Петергофское шоссе, дом 27",Красносельский,Южно-Приморский парк,Мухтулов Александр Владимирович,751-52-87,751-52-83,Oaoupp@mail.ru,7807318450,5067847465450,Www.yuzhno-primorskypark.narod.ru,Содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.850676,30.173755"
12,Акционерное общество «Калининское садово-парковое хозяйство»,"АО ""Калининское СПХ""","195427, Санкт-Петербург, улица Академика Байкова, дом 2",Калининский,,Ядыкина Надежда Михайловна,556-85-77,556-85-77,kalininskoe@yandex.ru,7804347365,5067847431493,www.kalininskoesph.spb.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"60.030335,30.367"
13,Акционерное общество «Садово-парковое предприятие «Пушкинское»,"АО ""СПП ""Пушкинское""","196608, Санкт-Петербург, г. Пушкин, Автомобильная улица, дом 1",Пушкинский,,Шабнов Александр Михайлович,476-69-72,466-65-13,guspp-pushkin@mail.ru,7820321438,1107847142897,www.pushkinskoe-spp.org,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.72563,30.442117"
14,Санкт-Петербургское государственное унитарное садово-парковое предприятие «Красносельское»,"СПБ ГУСПП ""Красносельское""","198259, Санкт-Петербург, проспект Ветеранов, дом 156",Красносельский,,Балабанов Сергей Александрович,730-83-44,730-83-44,sphkrasnosel@mail.ru,7807007409,1027804609535,www.sppkrasnosel.spb.ru,содержание и ремонт объектов зеленых насаждений общего пользования городского значения и уличного озеленения,"59.834555,30.150345"
15,Акционерное общество «Садово-парковое предприятие «Флора»,"АО ""СПП ""Флора""","198504 Санкт-Петербург, город Петергоф, Собственный проспект, дом 44",Петродворцовый,,Бучинский Иван Александрович,450-53-81,450-53-88,flora155@mail.ru,7819000863,1027808918940,www.spp-flora.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.890938,29.856272"
16,"Акционерное общество ""Приморский парк Победы""","АО ""Приморский парк Победы""","197110, Санкт-Петербург, Крестовский проспект, дом 23, литера А",Петроградский,Приморский парк Победы,Борковец Максим Алексеевич,230-04-56,230-04-56,primorsky-park@mail.ru,7813464548,1107847038518,www.primparkpobedy.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.970344,30.24871"
17,Акционерное общество «Садово-парковое хозяйство «Фрунзенское»,"АО ""СПХ ""Фрунзенское""","192241, Санкт-Петербург, Южное шоссе, дом 59",Фрунзенский,,Степанов Александр Александрович,268-20-40,268-20-40,sph_f@inbox.ru,7816390615,5067847069934,www.parkfrunz.spb.ru,содержание и ремонт объектовзеленых насаждений общего пользования городского значения и уличного озеленения,"59.855774,30.400696"
