№ автостоянки,Адрес,Тип автостоянки,Количество машиномест,"Площадь участка, м2",Район города,Ближайшая станция метро,Условия использования,Координаты
1,"Санкт-Петербург, проспект Энгельса, у д. 162, литера Р",Перехватывающая,155,4804,Выборгский,Парнас,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","60.067403,30.334694"
2,"Санкт-Петербург, проспект Просвещения, у д. 30, корпус 1",Перехватывающая,43,1319,Выборгский,Проспект Просвещения,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","60.054322,30.32702"
3,"Санкт-Петербург, Гражданский проспект, у д. 116, корпус 1",Перехватывающая,46,1423,Калининский,Гражданский проспект,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","60.035646,30.41789"
4,"Санкт-Петербург, Политехническая улица, у д. 29, литера П",Перехватывающая,61,1413,Калининский,Политехническая,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","60.008229,30.370082"
5,"Санкт-Петербург, проспект Стачек, у д. 47, литера Ф",Перехватывающая,50,2722,Кировский,Кировский завод,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","59.88067,30.261241"
6,"Санкт-Петербург, проспект Народного Ополчения, у д. 16",Перехватывающая,190,5814,Кировский,Ленинский проспект,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","59.848022,30.280652"
7,"Санкт-Петербург, Заневский проспект, у д. 65, литера А",Перехватывающая,117,5200,Красногвардейский,Ладожская,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","59.930949,30.435501"
8,"Санкт-Петербург, Витебский проспект, пересечение со Звездной улицей",Перехватывающая,93,2482,Московский,Купчино,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","59.835345,30.37271"
9,"Санкт-Петербург, Витебский проспект, западнее д. 108, литера А",Перехватывающая,99,3741,Московский,Купчино,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","59.827945,30.37562"
10,"Санкт-Петербург, улица Грибакиных, у д. 27",Перехватывающая,330,9764,Невский,Обухово,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00 для ТС категорий А, B и 250 р. для ТС категорий BE, C, D. www. gcup.spb.ru, 417-50-00","59.848858,30.460832"
11,"Санкт-Петербург, Касимовская улица, напротив д. 10",Перехватывающая,151,4040,Фрунзенский,Волковская,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","59.896152,30.361063"
12,"Санкт-Петербург, улица Салова, у д. 70 литера А",Перехватывающая,89,3607,Фрунзенский,Бухарестская,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","59.886305,30.374229"
13,"Санкт-Петербург, Витебский пр., у д. 108, литера А, Б",Перехватывающая,97,4124,Фрунзенский,Купчино,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","59.832728,30.373616"
14,"Санкт-Петербург, Балканская пл., у д. 5 литера О",Перехватывающая,58,2160,Фрунзенский,Купчино,"Круглосуточно. Бесплатно при въезде с 06:01 до 20:00 и выезде до 23:59 при предъявлении эл. проездного документа (БСК/""Подорожник""), подтверждающего совершение 1 поездки на общественном транспорте. 150 р. за 11 ч. при въезде с 20:01 до 07:00. www. gcup.spb.ru, 417-50-00","59.831534,30.377492"
15,"Санкт-Петербург, Синопская набережная, у д. 30",Городская,121,5590,Центральный,Площадь Александра Невского,"Режим работы: Круглосуточно. Стоимость: 50 руб./час, 300 руб./сутки, 4 000 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.93062,30.38875"
16,",  пр. Маршала Жукова, южнее д. 5, лит. А по Кронштадтской ул.",Городская,70,2522,Кировский,Кировский завод,"Режим работы: Круглосуточно. Стоимость:  150 руб./сутки, 3 000 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.872208,30.252502"
17,"Санкт-Петербург, пр. Народного Ополчения, напротив д.179",Городская,93,3000,Кировский,Проспект Ветеранов,"Режим работы: Круглосуточно. Стоимость:  150 руб./сутки, 3 000 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.824409,30.213768"
18,"Санкт-Петербург, ул.Коммуны, северо-восточнее д. 16, лит. А",Городская,100,3496,Красногвардейский,Ладожская,"Режим работы: Круглосуточно. Стоимость: категории А и В - 200 руб./сутки, 3 500 руб./месяц; категории ВЕ, D и С - 300 руб./сутки, 5 000 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.943616,30.505647"
19,"Санкт-Петербург, 5-й Предпортовый проезд, напротив дома 86, литера А по Кубинской улице",Городская,257,7008,Московский,Звездная,"Режим работы: Круглосуточно. Стоимость:  200 руб./сутки, 3 500 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.836532,30.310552"
20,"Санкт-Петербург, Толмачевская ул., севернее дома 7, лит. В по Стартовой ул.",Городская,33,1231,Московский,Звездная,"Режим работы: Круглосуточно. Стоимость:  200 руб./сутки, 2 500 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.810496,30.314225"
21,"Санкт-Петербург, ул. Оптиков, северо-западнее пересечения с Яхтенной ул.",Городская,45,2500,Приморский,Старая Деревня,"Режим работы: Круглосуточно. Стоимость:  200 руб./сутки, 3 500 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","60.000306,30.218357"
22,"Санкт-Петербург, Лиговский пр., юго-восточнее д. 10/118, лит. А по Лиговскому пр.",Городская,56,1319,Центральный,Площадь Восстания,"Режим работы: Круглосуточно. Стоимость: 100 руб./час, 600 руб./сутки, 6 000 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.93126,30.362499"
23,"Санкт-Петербург, Греческая пл., северо-западнее д. 6 по Лиговскому пр.",Городская,84,2821,Центральный,Площадь Восстания,"Режим работы: Круглосуточно. Стоимость: 100 руб./час, 600 руб./сутки, 6 000 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.93619,30.364736"
24,"Санкт-Петербург, пл. Островского, у дома 6",Городская,57,1300,Центральный,Гостинный двор,"Режим работы: Круглосуточно. Стоимость: 100 руб./час, 600 руб./сутки, 6 000 руб./месяц. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.932003,30.335314"
25,"Санкт-Петербург, г. Петергоф, Санкт-Петербургский пр., северо-восточнее пересечения с Петергофским ручьем",Городская,332,58324,Петродворцовый,Проспект Ветеранов,"Режим работы: Круглосуточно. Стоимость: для категорий А, В -50 руб./час (первые 4 часа), 100 руб./час (5 и 6 час), 150 руб./час (7 и последующие часы). Для категорий  BE, C  -100 руб./час (первые 4 часа), 250 руб./час (5 и 6 час), 250 руб./час (7 и последующие часы).  Для категории D - бесплатно. Сайт: www. gcup.spb.ru Телефон + 7 (812) 417-50-00","59.888729,29.884266"
